# SlipX generated track: a stadium, two 8 m straights and two 3 m ends.
# NOT a real venue. Generated by examples/tracks/make_tracks.py.
# Apache-2.0, like the rest of this repository.
#
# Four columns, the form used by the TUM racetrack database and the
# F1TENTH set derived from it. Arc length is derived by the loader,
# not read, so there is no column for it.
# x_m,y_m,w_tr_right_m,w_tr_left_m
-4.000000,-3.000000,0.750000,0.750000
-3.899858,-3.000000,0.750000,0.750000
-3.799715,-3.000000,0.750000,0.750000
-3.699573,-3.000000,0.750000,0.750000
-3.599430,-3.000000,0.750000,0.750000
-3.499288,-3.000000,0.750000,0.750000
-3.399146,-3.000000,0.750000,0.750000
-3.299003,-3.000000,0.750000,0.750000
-3.198861,-3.000000,0.750000,0.750000
-3.098718,-3.000000,0.750000,0.750000
-2.998576,-3.000000,0.750000,0.750000
-2.898434,-3.000000,0.750000,0.750000
-2.798291,-3.000000,0.750000,0.750000
-2.698149,-3.000000,0.750000,0.750000
-2.598006,-3.000000,0.750000,0.750000
-2.497864,-3.000000,0.750000,0.750000
-2.397722,-3.000000,0.750000,0.750000
-2.297579,-3.000000,0.750000,0.750000
-2.197437,-3.000000,0.750000,0.750000
-2.097294,-3.000000,0.750000,0.750000
-1.997152,-3.000000,0.750000,0.750000
-1.897010,-3.000000,0.750000,0.750000
-1.796867,-3.000000,0.750000,0.750000
-1.696725,-3.000000,0.750000,0.750000
-1.596582,-3.000000,0.750000,0.750000
-1.496440,-3.000000,0.750000,0.750000
-1.396298,-3.000000,0.750000,0.750000
-1.296155,-3.000000,0.750000,0.750000
-1.196013,-3.000000,0.750000,0.750000
-1.095870,-3.000000,0.750000,0.750000
-0.995728,-3.000000,0.750000,0.750000
-0.895586,-3.000000,0.750000,0.750000
-0.795443,-3.000000,0.750000,0.750000
-0.695301,-3.000000,0.750000,0.750000
-0.595158,-3.000000,0.750000,0.750000
-0.495016,-3.000000,0.750000,0.750000
-0.394874,-3.000000,0.750000,0.750000
-0.294731,-3.000000,0.750000,0.750000
-0.194589,-3.000000,0.750000,0.750000
-0.094446,-3.000000,0.750000,0.750000
0.005696,-3.000000,0.750000,0.750000
0.105838,-3.000000,0.750000,0.750000
0.205981,-3.000000,0.750000,0.750000
0.306123,-3.000000,0.750000,0.750000
0.406266,-3.000000,0.750000,0.750000
0.506408,-3.000000,0.750000,0.750000
0.606550,-3.000000,0.750000,0.750000
0.706693,-3.000000,0.750000,0.750000
0.806835,-3.000000,0.750000,0.750000
0.906978,-3.000000,0.750000,0.750000
1.007120,-3.000000,0.750000,0.750000
1.107263,-3.000000,0.750000,0.750000
1.207405,-3.000000,0.750000,0.750000
1.307547,-3.000000,0.750000,0.750000
1.407690,-3.000000,0.750000,0.750000
1.507832,-3.000000,0.750000,0.750000
1.607975,-3.000000,0.750000,0.750000
1.708117,-3.000000,0.750000,0.750000
1.808259,-3.000000,0.750000,0.750000
1.908402,-3.000000,0.750000,0.750000
2.008544,-3.000000,0.750000,0.750000
2.108687,-3.000000,0.750000,0.750000
2.208829,-3.000000,0.750000,0.750000
2.308971,-3.000000,0.750000,0.750000
2.409114,-3.000000,0.750000,0.750000
2.509256,-3.000000,0.750000,0.750000
2.609399,-3.000000,0.750000,0.750000
2.709541,-3.000000,0.750000,0.750000
2.809683,-3.000000,0.750000,0.750000
2.909826,-3.000000,0.750000,0.750000
3.009968,-3.000000,0.750000,0.750000
3.110111,-3.000000,0.750000,0.750000
3.210253,-3.000000,0.750000,0.750000
3.310395,-3.000000,0.750000,0.750000
3.410538,-3.000000,0.750000,0.750000
3.510680,-3.000000,0.750000,0.750000
3.610823,-3.000000,0.750000,0.750000
3.710965,-3.000000,0.750000,0.750000
3.811107,-3.000000,0.750000,0.750000
3.911250,-3.000000,0.750000,0.750000
4.011392,-2.999978,0.750000,0.750000
4.111509,-2.997927,0.750000,0.750000
4.211501,-2.992535,0.750000,0.750000
4.311258,-2.983809,0.750000,0.750000
